Ridership,Date
7909547,Jan-02
7345194,Feb-02
7964285,Mar-02
8270355,Apr-02
8289133,May-02
7763741,Jun-02
8115480,Jul-02
8102483,Aug-02
7967666,Sep-02
8586941,Oct-02
7426050,Nov-02
7420142,Dec-02
7742974,Jan-03
7203696,Feb-03
7824583,Mar-03
7744429,Apr-03
7770298,May-03
7686622,Jun-03
8183386,Jul-03
8187127,Aug-03
8322915,Sep-03
8773115,Oct-03
7559250,Nov-03
7916215,Dec-03
7580822,Jan-04
7475394,Feb-04
8574110,Mar-04
8332090,Apr-04
8224919,May-04
8416224,Jun-04
8290098,Jul-04
8360745,Aug-04
8599271,Sep-04
8524930,Oct-04
8152569,Nov-04
8099384,Dec-04
7702994,Jan-05
7468182,Feb-05
8607197,Mar-05
8368549,Apr-05
8565848,May-05
8556260,Jun-05
8166483,Jul-05
8931804,Aug-05
9055094,Sep-05
9150357,Oct-05
8696359,Nov-05
8222205,Dec-05
8153875,Jan-06
7867174,Feb-06
8826982,Mar-06
8254952,Apr-06
9199520,May-06
9129312,Jun-06
8841429,Jul-06
9408203,Aug-06
9164925,Sep-06
9657712,Oct-06
8886575,Nov-06
8589717,Dec-06
8670049,Jan-07
8096154,Feb-07
9482455,Mar-07
9038628,Apr-07
9836950,May-07
9346900,Jun-07
9457565,Jul-07
10003205,Aug-07
9597672,Sep-07
10242240,Oct-07
9547627,Nov-07
9124637,Dec-07
8949719,Jan-08
8975483,Feb-08
9516160,Mar-08
9892985,Apr-08
9882353,May-08
10038037,Jun-08
10391609,Jul-08
10125927,Aug-08
10128639,Sep-08
10616630,Oct-08
9132590,Nov-08
9521093,Dec-08
8963546,Jan-09
8440692,Feb-09
9448208,Mar-09
9381910,Apr-09
9131064,May-09
9372670,Jun-09
9238253,Jul-09
9034136,Aug-09
9615486,Sep-09
10160860,Oct-09
8842079,Nov-09
8793299,Dec-09
8155524,Jan-10
8189423,Feb-10
9251973,Mar-10
8972334,Apr-10
8896679,May-10
9095592,Jun-10
9068608,Jul-10
9438760,Aug-10
9446738,Sep-10
9684379,Oct-10
9161703,Nov-10
8913375,Dec-10
8728778,Jan-11
8441890,Feb-11
9555408,Mar-11
9346845,Apr-11
9532758,May-11
9779786,Jun-11
9493821,Jul-11
10198701,Aug-11
9977902,Sep-11
10253767,Oct-11
9511142,Nov-11
9504591,Dec-11
9592678,Jan-12
9663403,Feb-12
10063110,Mar-12
9880761,Apr-12
10516638,May-12
10208164,Jun-12
10252748,Jul-12
10978493,Aug-12
10347984,Sep-12
11975954,Oct-12
10225693,Nov-12
9661444,Dec-12
10044582,Jan-13
9720752,Feb-13
10677769,Mar-13
10968542,Apr-13
11107331,May-13
10585204,Jun-13
9005234,Jul-13
11271687,Aug-13
11062296,Sep-13
10007386,Oct-13
10100407,Nov-13
10196072,Dec-13
10275255,Jan-14
9708516,Feb-14
10834065,Mar-14
10993908,Apr-14
11184320,May-14
11145026,Jun-14
11529147,Jul-14
11455046,Aug-14
11467457,Sep-14
12556439,Oct-14
10338527,Nov-14
10688033,Dec-14
10565314,Jan-15
10136239,Feb-15
11563999,Mar-15
11468925,Apr-15
11041447,May-15
11849485,Jun-15
11731661,Jul-15
11342101,Aug-15
11449941,Sep-15
12202108,Oct-15
10720752,Nov-15
10915123,Dec-15
10648753,Jan-16
11457041,Feb-16
11744295,Mar-16
11254160,Apr-16
11432356,May-16
11728830,Jun-16
10944760,Jul-16
11762450,Aug-16
11311307,Sep-16
11577219,Oct-16
10857637,Nov-16
10519461,Dec-16
10435125,Jan-17
10010250,Feb-17
11481857,Mar-17
10411343,Apr-17
11204729,May-17
11294073,Jun-17
10636947,Jul-17
11550812,Aug-17
10558083,Sep-17
11407728,Oct-17
10494253,Nov-17
9876526,Dec-17
10298004,Jan-18
9765804,Feb-18
10882375,Mar-18
10544177,Apr-18
11084564,May-18
10775239,Jun-18
10732983,Jul-18
11227125,Aug-18
10395283,Sep-18
11638526,Oct-18
9723261,Nov-18
9347390,Dec-18
10106508,Jan-19
9455714,Feb-19
10470980,Mar-19
10779665,Apr-19
10801006,May-19
10427019,Jun-19
10625438,Jul-19
10922850,Aug-19
10505807,Sep-19
11320625,Oct-19
9728758,Nov-19
9309469,Dec-19
9925918,Jan-20
9527569,Feb-20
4308934,Mar-20
656653,Apr-20
771234,May-20
1095623,Jun-20
1270292,Jul-20
1241828,Aug-20
1291618,Sep-20
1487371,Oct-20
1331091,Nov-20
1216162,Dec-20
1114032,Jan-21
1185642,Feb-21
1482805,Mar-21
1597612,Apr-21
1779074,May-21
2127746,Jun-21
2325676,Jul-21
2589085,Aug-21
3053656,Sep-21
3185748,Oct-21
2971042,Nov-21
2834892,Dec-21
2328579,Jan-22
2689680,Feb-22
3560435,Mar-22
3595725,Apr-22
3780985,May-22
3999328,Jun-22
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
